,PositionTitle,MinimumRange,MaximumRange,PositionURI
83,Cybersecurity Risk Management and Compliance - Developmental,82000.0,107000.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827826800
84,Cybersecurity Risk Management and Compliance - Leadership,122400.0,201500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828689000
85,Data Science - Technical,105600.0,212500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829062500
86,Data Science - Leadership,122400.0,201500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828665600
87,IT Cybersecurity Specialist (NETWORK/INFOSEC),120579.0,156755.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828476000
88,Mitigation and Response - Technical,105600.0,212500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828134600
89,Mitigation and Response - Leadership,122400.0,201500.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828689200
90,Security Specialist,108165.0,166163.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828380000
91,Security Specialist,108165.0,166163.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828417200
92,Supervisory Management and Program Analyst,155679.0,195200.0,https://www.usajobs.gov:443/GetJob/ViewDetails/826057300
93,Supervisory Management and Program Analyst,155679.0,195200.0,https://www.usajobs.gov:443/GetJob/ViewDetails/826957700
94,External Affairs Specialist,146754.0,190779.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827498100
95,IT Cybersecurity Specialist,101401.0,156755.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829192300
96,IT CYBERSECURITY SPECIALIST (INFOSEC),123318.0,165918.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827397500
97,IT CYBERSECURITY SPECIALIST (INFOSEC),88621.0,115213.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828602200
98,IT Specialist (Network/Security),90961.0,140616.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828862300
99,IT Cybersecurity Specialist (INFOSEC),86962.0,134435.0,https://www.usajobs.gov:443/GetJob/ViewDetails/791487200
100,SUPERVISORY ACCOUNTANT,152850.0,198704.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829245900
101,Finance Resource Officer,74318.0,129759.0,https://www.usajobs.gov:443/GetJob/ViewDetails/772409300
102,ACCOUNTING TECHNICIAN,42113.0,54742.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828497100
103,LEAD ACCOUNTING TECHNICIAN,46945.0,61026.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827523300
104,LEAD ACCOUNTING TECHNICIAN,44959.0,58445.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827598300
105,LEAD ACCOUNTING TECHNICIAN,52167.0,67821.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828713500
106,FINANCIAL TECHNICIAN,46914.0,60986.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828201900
107,SUPERVISORY FINANCIAL SPECIALIST,105383.0,137000.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829186500
108,FINANCIAL SYSTEMS SPECIALIST,89447.0,116286.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829113000
